name,salary_from,salary_to,salary_currency,area_name,published_at
Графический дизайнер,15000,,RUR,Казань,2022-12-19T00:34:35+0300
Web-программист (Junior),30000,45000,RUR,Барнаул,2022-12-19T04:57:46+0300
Системный администратор,200000,300000,KZT,Алматы,2022-12-19T05:26:44+0300
QA Manual Engineer,,,,Алматы,2022-12-19T03:54:00+0300
ИТ-специалист,6000000,8000000,UZS,Ташкент,2022-12-19T01:08:00+0300
Механик,150000,,RUR,Иркутск,2022-12-19T05:57:13+0300
Слесарь механосборочных работ,1600,2300,BYR,Минск,2022-12-19T00:03:11+0300
Специалист (Группа поддержки рабочих мест),42500,,RUR,Кемерово,2022-12-19T05:23:00+0300
Руководитель службы эксплуатации ЦОД (релокация),180000,,RUR,Иркутск,2022-12-19T03:33:36+0300
Заместитель начальника отдела автоматизации и информационного взаимодействия,60000,,RUR,Красноярск,2022-12-19T05:15:37+0300
Технический специалист/системный администратор,60000,75000,RUR,Новосибирск,2022-12-19T03:10:03+0300
Программист-разработчик,50000,,RUR,Владивосток,2022-12-19T04:31:27+0300
Консультант 1С,84000,120000,RUR,Новосибирск,2022-12-19T05:11:11+0300
Системный администратор,75000,95000,RUR,Новосибирск,2022-12-19T05:29:37+0300
Инженер-программист по IP-телефонии (Junior),40000,80000,RUR,Пермь,2022-12-19T04:31:34+0300
Middle Frontend Developer,,,,Новосибирск,2022-12-19T05:30:13+0300
Ученик оператора токарных станков с ЧПУ (16М30Ф3; 16А20Ф3; ТС1625Ф3; CKE6180Z; HAAS-ST-20),50000,,RUR,Томск,2022-12-19T05:56:32+0300
Тестировщик ПО,,,,Новосибирск,2022-12-19T05:04:47+0300
Сервисный инженер,80000,90000,RUR,Новокузнецк,2022-12-19T05:12:05+0300
Системный администратор,150000,,RUR,Владивосток,2022-12-19T02:37:41+0300
Инженер по производству и испытаниям оборудования для АЭС,,,,Санкт-Петербург,2022-12-19T00:11:54+0300
Сервисный инженер,150000,,RUR,Москва,2022-12-19T03:33:25+0300
Project manager,,,,Новосибирск,2022-12-19T05:52:26+0300
Test Automation Engineer - RPA (to Montenegro),,,,Санкт-Петербург,2022-12-19T05:08:03+0300
Оператор лазерного станка,80000,,RUR,Барнаул,2022-12-19T05:57:39+0300
Системный администратор MS Windows Server,60000,100000,RUR,Новосибирск,2022-12-19T05:59:28+0300
